statusId | label
30|S8
statusId|sensorName|value|timestamp
30|LSM6DSL Acceleration Sensor|[0.23224466,0.011971374,10.496501]|1596069942094
30|LSM6DSL Gyroscope Sensor|[-0.024644136,0.047162462,0.008739038]|1596069942095
30|LSM6DSL Acceleration Sensor|[0.25379312,-0.014365649,10.498895]|1596069942096
30|LSM6DSL Gyroscope Sensor|[-0.02158981,0.031890832,-0.0022565362]|1596069942096
30|LSM6DSL Acceleration Sensor|[0.29210153,-0.03351985,10.479741]|1596069942098
30|Orientation Sensor|[67.98282,0.7270045,-1.399337]|1596069942099
30|LSM6DSL Gyroscope Sensor|[-0.017313752,0.01906266,-0.015084706]|1596069942099
30|LSM6DSL Acceleration Sensor|[0.30167863,-0.043096945,10.465375]|1596069942100
30|LSM6DSL Gyroscope Sensor|[-0.0148702925,0.012343143,-0.021804225]|1596069942101
30|LSM6DSL Acceleration Sensor|[0.3232271,-0.05027977,10.453403]|1596069942101
30|LSM6DSL Gyroscope Sensor|[-0.0130376965,0.004401895,-0.03402153]|1596069942103
30|LSM6DSL Acceleration Sensor|[0.32801566,-0.076616794,10.412702]|1596069942104
30|LSM6DSL Gyroscope Sensor|[-0.011205101,0.0013475687,-0.049904026]|1596069942105
30|LSM6DSL Acceleration Sensor|[0.3519584,-0.090982445,10.395941]|1596069942106
30|LSM6DSL Gyroscope Sensor|[-0.012426831,0.0013475687,-0.057845272]|1596069942107
30|LSM6DSL Acceleration Sensor|[0.3304099,-0.090982445,10.321719]|1596069942108
30|Orientation Sensor|[68.00245,0.71649456,-1.3576628]|1596069942108
30|LSM6DSL Gyroscope Sensor|[-0.016702889,0.0037910298,-0.07861469]|1596069942108
30|LSM6DSL Acceleration Sensor|[0.339987,-0.08858817,10.297776]|1596069942110
30|LSM6DSL Gyroscope Sensor|[-0.015481158,0.006234491,-0.08716681]|1596069942111
30|LSM6DSL Acceleration Sensor|[0.35435268,-0.06943397,10.240314]|1596069942112
30|LSM6DSL Gyroscope Sensor|[-0.020978944,0.011732277,-0.095108055]|1596069942113
30|LSM6DSL Acceleration Sensor|[0.35435268,-0.06943397,10.223554]|1596069942114
30|LSM6DSL Gyroscope Sensor|[-0.026476732,0.019673526,-0.10732535]|1596069942115
30|LSM6DSL Acceleration Sensor|[0.36632404,-0.045491222,10.199611]|1596069942116
30|LSM6DSL Gyroscope Sensor|[-0.03563971,0.035556022,-0.12198612]|1596069942117
30|LSM6DSL Acceleration Sensor|[0.35435268,-0.045491222,10.168485]|1596069942118
30|Orientation Sensor|[68.056854,0.7196106,-1.3241243]|1596069942119
30|LSM6DSL Gyroscope Sensor|[-0.045413554,0.050827652,-0.13420343]|1596069942118
30|LSM6DSL Acceleration Sensor|[0.339987,-0.038308397,10.151725]|1596069942120
30|LSM6DSL Gyroscope Sensor|[-0.053354803,0.058768902,-0.14214468]|1596069942120
30|LSM6DSL Acceleration Sensor|[0.31843856,-0.05506832,10.142148]|1596069942122
30|LSM6DSL Gyroscope Sensor|[-0.063739516,0.07709485,-0.15558371]|1596069942123
30|LSM6DSL Acceleration Sensor|[0.28731298,-0.07901107,10.13736]|1596069942124
30|LSM6DSL Gyroscope Sensor|[-0.0692373,0.08320352,-0.1610815]|1596069942124
30|LSM6DSL Acceleration Sensor|[0.2753416,-0.09337672,10.146936]|1596069942126
30|LSM6DSL Gyroscope Sensor|[-0.081454605,0.09725341,-0.17085534]|1596069942127
30|LSM6DSL Acceleration Sensor|[0.23224466,-0.11492519,10.166091]|1596069942128
30|Orientation Sensor|[68.142525,0.74999845,-1.3183705]|1596069942128
30|LSM6DSL Gyroscope Sensor|[-0.086952396,0.10885985,-0.18490525]|1596069942128
30|LSM6DSL Acceleration Sensor|[0.19393626,-0.11971374,10.178062]|1596069942130
30|LSM6DSL Gyroscope Sensor|[-0.093061045,0.11557937,-0.18673784]|1596069942131
30|LSM6DSL Acceleration Sensor|[0.12929083,-0.11971374,10.204399]|1596069942132
30|LSM6DSL Gyroscope Sensor|[-0.100391425,0.11802283,-0.20017688]|1596069942133
30|LSM6DSL Acceleration Sensor|[0.057462595,-0.11971374,10.235525]|1596069942134
30|LSM6DSL Gyroscope Sensor|[-0.10772181,0.12229889,-0.20628552]|1596069942135
30|LSM6DSL Acceleration Sensor|[0.019154198,-0.117319465,10.247497]|1596069942136
30|LSM6DSL Gyroscope Sensor|[-0.111997865,0.12352061,-0.2068964]|1596069942136
30|LSM6DSL Acceleration Sensor|[-0.12929083,-0.09577099,10.314536]|1596069942138
30|Orientation Sensor|[68.25513,0.79987067,-1.3310922]|1596069942138
30|LSM6DSL Gyroscope Sensor|[-0.11871739,0.11496851,-0.21361591]|1596069942139
30|LSM6DSL Acceleration Sensor|[-0.12929083,-0.09577099,10.314536]|1596069942140
30|LSM6DSL Gyroscope Sensor|[-0.122382574,0.11008158,-0.2117833]|1596069942140
30|LSM6DSL Acceleration Sensor|[-0.16281068,-0.09577099,10.343267]|1596069942142
30|LSM6DSL Gyroscope Sensor|[-0.12482604,0.10152947,-0.21239418]|1596069942143
30|LSM6DSL Acceleration Sensor|[-0.21069619,-0.071828246,10.403124]|1596069942144
30|LSM6DSL Gyroscope Sensor|[-0.13032383,0.09419909,-0.2117833]|1596069942145
30|LSM6DSL Acceleration Sensor|[-0.23942748,-0.05027977,10.46777]|1596069942146
30|LSM6DSL Gyroscope Sensor|[-0.13215642,0.07953832,-0.20872898]|1596069942146
30|LSM6DSL Acceleration Sensor|[-0.24900457,-0.026337024,10.508472]|1596069942148
30|Orientation Sensor|[68.363716,0.8613802,-1.3319527]|1596069942149
30|LSM6DSL Gyroscope Sensor|[-0.13704334,0.06365582,-0.20933986]|1596069942149
30|LSM6DSL Acceleration Sensor|[-0.24182175,-0.023942748,10.546781]|1596069942150
30|LSM6DSL Gyroscope Sensor|[-0.13826507,0.053271115,-0.20872898]|1596069942151
30|LSM6DSL Acceleration Sensor|[-0.23224466,-0.021548472,10.611426]|1596069942152
30|LSM6DSL Gyroscope Sensor|[-0.13887593,0.044108134,-0.2117833]|1596069942153
30|LSM6DSL Acceleration Sensor|[-0.22506183,-0.019154198,10.642551]|1596069942154
30|LSM6DSL Gyroscope Sensor|[-0.1376542,0.027003909,-0.21117246]|1596069942155
30|LSM6DSL Acceleration Sensor|[-0.19154198,-0.05027977,10.700014]|1596069942156
30|LSM6DSL Gyroscope Sensor|[-0.13337815,0.00501276,-0.21361591]|1596069942156
30|LSM6DSL Acceleration Sensor|[-0.18435916,-0.05985687,10.728745]|1596069942158
30|Orientation Sensor|[68.47671,0.9234466,-1.2991844]|1596069942158
30|LSM6DSL Gyroscope Sensor|[-0.1291021,-0.0114806015,-0.21422678]|1596069942159
30|LSM6DSL Acceleration Sensor|[-0.17717634,-0.071828246,10.755082]|1596069942160
30|LSM6DSL Gyroscope Sensor|[-0.1291021,-0.018200118,-0.21605937]|1596069942160
30|LSM6DSL Acceleration Sensor|[-0.15802214,-0.098165266,10.793391]|1596069942162
30|LSM6DSL Gyroscope Sensor|[-0.12054998,-0.03591521,-0.2191137]|1596069942163
30|LSM6DSL Acceleration Sensor|[-0.12210801,-0.105348095,10.829305]|1596069942163
30|LSM6DSL Gyroscope Sensor|[-0.116273925,-0.044467323,-0.22033544]|1596069942165
30|LSM6DSL Acceleration Sensor|[-0.102953814,-0.12210801,10.843671]|1596069942166
30|LSM6DSL Gyroscope Sensor|[-0.10711095,-0.059738956,-0.22400063]|1596069942167
30|LSM6DSL Acceleration Sensor|[-0.0670397,-0.14844504,10.877191]|1596069942168
30|Orientation Sensor|[68.59185,0.97217005,-1.2349793]|1596069942169
30|LSM6DSL Gyroscope Sensor|[-0.0955045,-0.075621456,-0.22583322]|1596069942169
30|LSM6DSL Acceleration Sensor|[-0.043096945,-0.1699935,10.891556]|1596069942170
30|LSM6DSL Gyroscope Sensor|[-0.090006724,-0.08234097,-0.22705495]|1596069942170
30|LSM6DSL Acceleration Sensor|[-0.026337024,-0.21548474,10.889162]|1596069942172
30|LSM6DSL Gyroscope Sensor|[-0.07473508,-0.09700174,-0.22888754]|1596069942173
30|LSM6DSL Acceleration Sensor|[0.0,-0.22027329,10.905922]|1596069942174
30|LSM6DSL Gyroscope Sensor|[-0.063739516,-0.107997306,-0.23316361]|1596069942174
30|LSM6DSL Acceleration Sensor|[0.021548472,-0.23463893,10.901134]|1596069942176
30|LSM6DSL Gyroscope Sensor|[-0.054576535,-0.11716028,-0.2349962]|1596069942177
30|LSM6DSL Acceleration Sensor|[0.071828246,-0.27294734,10.860431]|1596069942178
30|Orientation Sensor|[68.71124,0.9943608,-1.1406841]|1596069942178
30|LSM6DSL Gyroscope Sensor|[-0.036250576,-0.1312102,-0.24293745]|1596069942179
30|LSM6DSL Acceleration Sensor|[0.08619389,-0.27055305,10.843671]|1596069942180
30|LSM6DSL Gyroscope Sensor|[-0.031363655,-0.13365366,-0.24599178]|1596069942181
30|LSM6DSL Acceleration Sensor|[0.09577099,-0.2753416,10.771842]|1596069942182
30|LSM6DSL Gyroscope Sensor|[-0.025865868,-0.13731885,-0.24599178]|1596069942183
30|LSM6DSL Acceleration Sensor|[0.098165266,-0.29689008,10.745505]|1596069942184
30|LSM6DSL Gyroscope Sensor|[-0.01792462,-0.14037317,-0.2508787]|1596069942185
30|LSM6DSL Acceleration Sensor|[0.098165266,-0.30886146,10.673677]|1596069942186
30|LSM6DSL Gyroscope Sensor|[-0.009372505,-0.14281663,-0.2575982]|1596069942187
30|LSM6DSL Acceleration Sensor|[0.102953814,-0.32083282,10.637763]|1596069942188
30|Orientation Sensor|[68.84342,0.99522656,-1.0328654]|1596069942189
30|LSM6DSL Gyroscope Sensor|[-0.0038747182,-0.13670798,-0.25820908]|1596069942189
30|LSM6DSL Acceleration Sensor|[0.105348095,-0.32083282,10.61382]|1596069942190
30|LSM6DSL Gyroscope Sensor|[-2.0952677E-4,-0.13243191,-0.26187426]|1596069942191
30|LSM6DSL Acceleration Sensor|[0.105348095,-0.31843856,10.565935]|1596069942192
30|LSM6DSL Gyroscope Sensor|[0.0046773953,-0.12204721,-0.2667612]|1596069942192
30|LSM6DSL Acceleration Sensor|[0.105348095,-0.33519846,10.553964]|1596069942194
30|LSM6DSL Gyroscope Sensor|[0.007120856,-0.1134951,-0.26553947]|1596069942195
30|LSM6DSL Gyroscope Sensor|[0.011396913,-0.094558276,-0.2685938]|1596069942197
30|LSM6DSL Acceleration Sensor|[0.11492519,-0.3615355,10.513261]|1596069942196
30|LSM6DSL Acceleration Sensor|[0.090982445,-0.37350687,10.479741]|1596069942198
30|AK09916C Magnetic field Sensor|[-15.9,7.7999997,-46.44]|1596069942199
30|Orientation Sensor|[68.980286,0.98858154,-0.95282495]|1596069942199
30|LSM6DSL Gyroscope Sensor|[0.017505566,-0.05851723,-0.2704264]|1596069942199
30|LSM6DSL Acceleration Sensor|[0.08140534,-0.38787252,10.46777]|1596069942200
30|LSM6DSL Gyroscope Sensor|[0.02055989,-0.043245595,-0.26920465]|1596069942201
30|LSM6DSL Acceleration Sensor|[0.08140534,-0.409421,10.453403]|1596069942202
30|LSM6DSL Gyroscope Sensor|[0.026057677,-0.03591521,-0.2679829]|1596069942203
30|LSM6DSL Acceleration Sensor|[0.06943397,-0.4070267,10.431855]|1596069942204
30|LSM6DSL Gyroscope Sensor|[0.023614218,-0.01575666,-0.2679829]|1596069942205
30|LSM6DSL Acceleration Sensor|[0.06943397,-0.41181526,10.422278]|1596069942206
30|LSM6DSL Gyroscope Sensor|[0.026057677,-0.0065936795,-0.2685938]|1596069942206
30|LSM6DSL Acceleration Sensor|[0.06464542,-0.44054657,10.388759]|1596069942208
30|AK09916C Magnetic field Sensor|[-16.38,8.22,-46.62]|1596069942208
30|LSM6DSL Gyroscope Sensor|[0.02850114,0.018451795,-0.27225897]|1596069942209
30|Orientation Sensor|[69.10935,0.9782849,-0.92308223]|1596069942209
30|LSM6DSL Acceleration Sensor|[0.052674048,-0.43575802,10.376787]|1596069942210
30|LSM6DSL Gyroscope Sensor|[0.02850114,0.018451795,-0.27225897]|1596069942211
30|LSM6DSL Acceleration Sensor|[0.047885496,-0.43336374,10.3743925]|1596069942212
30|LSM6DSL Gyroscope Sensor|[0.030333737,0.031890832,-0.27286986]|1596069942213
30|LSM6DSL Acceleration Sensor|[0.038308397,-0.45012367,10.362421]|1596069942214
30|LSM6DSL Gyroscope Sensor|[0.030333737,0.041664675,-0.27653503]|1596069942215
30|LSM6DSL Acceleration Sensor|[0.019154198,-0.4764607,10.324113]|1596069942216
30|LSM6DSL Gyroscope Sensor|[0.027279409,0.04227554,-0.2789785]|1596069942217
30|LSM6DSL Acceleration Sensor|[-0.0047885496,-0.50998056,10.221159]|1596069942218
30|Orientation Sensor|[69.24441,0.97265416,-0.921275]|1596069942218
30|AK09916C Magnetic field Sensor|[-16.8,8.34,-46.26]|1596069942219
30|LSM6DSL Gyroscope Sensor|[0.024225082,0.037999485,-0.28691974]|1596069942219
30|LSM6DSL Acceleration Sensor|[0.0071828244,-0.50758624,10.173274]|1596069942220
30|LSM6DSL Gyroscope Sensor|[0.019949026,0.032501698,-0.29241756]|1596069942220
30|LSM6DSL Acceleration Sensor|[0.045491222,-0.49082634,10.240314]|1596069942222
30|LSM6DSL Gyroscope Sensor|[0.015062104,0.008067086,-0.30341312]|1596069942223
30|LSM6DSL Acceleration Sensor|[0.06464542,-0.4860378,10.324113]|1596069942224
30|LSM6DSL Gyroscope Sensor|[0.016283834,-0.0035393531,-0.3107435]|1596069942225
30|LSM6DSL Acceleration Sensor|[0.117319465,-0.47885495,10.407912]|1596069942226
30|LSM6DSL Gyroscope Sensor|[0.026668545,-0.029195694,-0.32723686]|1596069942227
30|LSM6DSL Acceleration Sensor|[0.12450229,-0.4956149,10.324113]|1596069942228
30|Orientation Sensor|[69.403366,0.9727782,-0.87639356]|1596069942228
30|AK09916C Magnetic field Sensor|[-16.8,8.4,-46.2]|1596069942228
30|LSM6DSL Gyroscope Sensor|[0.032166332,-0.05668463,-0.34678453]|1596069942228
30|LSM6DSL Acceleration Sensor|[0.14844504,-0.505192,10.237919]|1596069942230
30|LSM6DSL Gyroscope Sensor|[0.03399893,-0.070123665,-0.35289317]|1596069942231
30|LSM6DSL Acceleration Sensor|[0.22745611,-0.51955765,10.144543]|1596069942232
30|LSM6DSL Gyroscope Sensor|[0.03399893,-0.10005606,-0.3736626]|1596069942232
30|LSM6DSL Acceleration Sensor|[0.25139886,-0.52674043,10.132571]|1596069942234
30|LSM6DSL Gyroscope Sensor|[0.03460979,-0.11532769,-0.3840473]|1596069942235
30|LSM6DSL Acceleration Sensor|[0.30167863,-0.53871185,10.146936]|1596069942236
30|LSM6DSL Gyroscope Sensor|[0.035831522,-0.14098404,-0.40726018]|1596069942237
30|LSM6DSL Acceleration Sensor|[0.3040729,-0.53392327,10.156514]|1596069942238
30|Orientation Sensor|[69.594925,0.9594799,-0.7856575]|1596069942239
30|AK09916C Magnetic field Sensor|[-16.38,8.58,-46.379997]|1596069942238
30|LSM6DSL Gyroscope Sensor|[0.040107578,-0.17458162,-0.4316948]|1596069942238
30|LSM6DSL Acceleration Sensor|[0.30886146,-0.5219519,10.161303]|1596069942240
30|LSM6DSL Gyroscope Sensor|[0.039496716,-0.18740979,-0.4402469]|1596069942241
30|LSM6DSL Acceleration Sensor|[0.31365,-0.49800915,10.142148]|1596069942242
30|LSM6DSL Gyroscope Sensor|[0.041940175,-0.21489872,-0.4652924]|1596069942243
30|LSM6DSL Acceleration Sensor|[0.33759275,-0.4644893,10.08708]|1596069942244
30|LSM6DSL Gyroscope Sensor|[0.043161906,-0.23872247,-0.48667267]|1596069942244
30|LSM6DSL Acceleration Sensor|[0.3519584,-0.45251793,10.022434]|1596069942246
30|LSM6DSL Gyroscope Sensor|[0.041329313,-0.2509398,-0.49950084]|1596069942247
30|LSM6DSL Acceleration Sensor|[0.3328042,-0.37111259,9.945818]|1596069942248
30|Orientation Sensor|[69.83284,0.9440853,-0.63034964]|1596069942249
30|AK09916C Magnetic field Sensor|[-16.5,8.7,-45.78]|1596069942249
30|LSM6DSL Gyroscope Sensor|[0.02972287,-0.27537438,-0.52943325]|1596069942249
30|LSM6DSL Acceleration Sensor|[0.33519846,-0.35435268,9.98652]|1596069942250
30|LSM6DSL Gyroscope Sensor|[0.027279409,-0.27965045,-0.5385962]|1596069942251
30|LSM6DSL Acceleration Sensor|[0.33519846,-0.33759275,10.041589]|1596069942252
30|LSM6DSL Gyroscope Sensor|[0.026668545,-0.28331563,-0.5471483]|1596069942253
30|LSM6DSL Acceleration Sensor|[0.32562137,-0.31843856,10.151725]|1596069942254
30|LSM6DSL Gyroscope Sensor|[0.032777194,-0.2857591,-0.55875474]|1596069942255
30|LSM6DSL Acceleration Sensor|[0.31365,-0.30646718,10.230737]|1596069942256
30|LSM6DSL Gyroscope Sensor|[0.039496716,-0.29247862,-0.5746373]|1596069942256
30|LSM6DSL Acceleration Sensor|[0.28013015,-0.36392978,10.36721]|1596069942258
30|Orientation Sensor|[70.111336,0.9292068,-0.45085108]|1596069942258
30|AK09916C Magnetic field Sensor|[-16.56,8.639999,-46.14]|1596069942258
30|LSM6DSL Gyroscope Sensor|[0.05782267,-0.29003516,-0.589298]|1596069942259
30|LSM6DSL Acceleration Sensor|[0.28013015,-0.36392978,10.36721]|1596069942260
30|LSM6DSL Gyroscope Sensor|[0.05782267,-0.29003516,-0.589298]|1596069942260
30|LSM6DSL Acceleration Sensor|[0.2681588,-0.36632404,10.271439]|1596069942263
30|LSM6DSL Gyroscope Sensor|[0.07187258,-0.2857591,-0.5960176]|1596069942263
30|LSM6DSL Gyroscope Sensor|[0.071261704,-0.2857591,-0.59785014]|1596069942265
30|LSM6DSL Acceleration Sensor|[0.2849187,-0.35914123,10.182851]|1596069942264
30|LSM6DSL Acceleration Sensor|[0.29210153,-0.3304099,10.139753]|1596069942266
30|LSM6DSL Gyroscope Sensor|[0.07614863,-0.2888134,-0.607624]|1596069942267
30|LSM6DSL Acceleration Sensor|[0.27055305,-0.27294734,10.185245]|1596069942268
30|Orientation Sensor|[70.40863,0.8925533,-0.27358383]|1596069942268
